نزدیک ترین سیاره به خورشید کدام است ؟ | عطارد | علوم | آسان
کتاب مقدس مسیحیان چه نام دارد ؟ | انجیل | دین و مذهبی | معمولی
کدام سیاره به سیاره سرخ معروف است ؟ | مریخ | علوم | معمولی
پایتخت ترکیه کدام شهر است ؟ | انکارا | جغرافیا | آسان
مالک شرکت تسلا و اسپیس ایکس چه کسی است ؟ | ایلان ماسک | افراد معروف | معمولی
غذایی که از نان و گوشت و سبزی تشکیل شده و در فست فود ها محبوب است چه نام دارد ؟ | همبرگر | غذا و نوشیدنی | آسان
کدام جانور به سلطان جنگل معروف است ؟ | شیر | حیوانات | آسان
سینمای هند با چه نامی مشهور است ؟ | بالیوود | فرهنگ و هنر | معمولی
اولین انسان رفته به فضا چه کسی بود ؟ | یوری گاگارین | تاریخ | سخت
واحد پول اتحادیه اروپا چه نام دارد ؟ | یورو | اقتصاد | معمولی
کدام ویتامین با نام اسید اسکوربیک هم شناخته می شود ؟ | C | علوم | معمولی
کدام کشور پایتختش باکو است ؟ | اذربایجان | جغرافیا | معمولی
مالک شرکت مایکروسافت چه کسی بود ؟ | بیل گیتس | افراد معروف | معمولی
در هر تیم فوتبال در زمین چند بازیکن حضور دارند ؟ | 11 | ورزش | آسان
دانش بررسی رفتار و ذهن انسان چه نام دارد ؟ | روانشناسی | روانشناسی | معمولی
سریع ترین پرنده دنیا کدام است ؟ | شاهین | حیوانات | معمولی
مخفف هوش مصنوعی در انگلیسی چگونه نوشته می شود ؟ | AI | تکنولوژی | معمولی
نخستین رییس جمهور ایالات متحده امریکا چه کسی بود ؟ | جورج واشنگتن | تاریخ | سخت
قاره ای که کشور برزیل در آن قرار دارد کدام است ؟ | امریکا جنوبی | جغرافیا | معمولی
مهم ترین ماده معدنی موجود در استخوان ها چیست ؟ | کلسیم | علوم | معمولی
غذای سنتی ژاپن که با برنج و ماهی خام تهیه می شود چه نام دارد ؟ | سوشی | غذا و نوشیدنی | سخت
شاعر ایرانی که دیوان غزلیاتش بسیار مشهور است چه کسی است ؟ | حافظ | ادبیات | معمولی
کدام پرنده نماد صلح شناخته می شود ؟ | کبوتر سفید | حیوانات | آسان
کدام وب سایت برای تماشای ویدیو های کاربران در جهان بسیار معروف است ؟ | یوتیوب | تکنولوژی | معمولی
بلند ترین کوه جهان کدام است ؟ | اورست | جغرافیا | معمولی
کدام دانشمند جدول تناوبی عناصر را تنظیم کرد ؟ | دیمیتری مندلیف | علوم | سخت
کدام کشور به سرزمین افتاب تابان معروف است ؟ | ژاپن | جغرافیا | معمولی
کدام ورزش فکری با صفحه 64 خانه و مهره های سیاه و سفید انجام می شود ؟ | شطرنج | ورزش | معمولی
کتاب صد سال تنهایی اثر کدام نویسنده است ؟ | گابریل گارسیا مارکز | ادبیات | سخت
بزرگ ترین گربه سان جهان کدام است ؟ | ببر سیبری | حیوانات | سخت
نخستین تمدن بزرگ در کنار رود نیل متعلق به کدام کشور امروزی است ؟ | مصر | تاریخ | معمولی
در چه شهری مجسمه ازادی قرار دارد ؟ | نیویورک | فرهنگ و هنر | معمولی
بزرگ ترین اقیانوس جهان کدام است ؟ | اقیانوس ارام | جغرافیا | معمولی
فرمول شیمیایی گاز دی اکسید کربن چیست ؟ | CO2 | علوم | معمولی
پایتخت روسیه کدام شهر است ؟ | مسکو | جغرافیا | معمولی
چه کسی قانون جاذبه عمومی را توضیح داد ؟ | ایزاک نیوتن | علوم | سخت
غذایی که از برنج و زعفران و گوشت کبابی درست می شود چه نام دارد ؟ | چلوکباب | غذا و نوشیدنی | آسان
کدام فوتبالیست پرتغالی با لقب سی ار سونزد شناخته می شود ؟ | کریستیانو رونالدو | ورزش | سخت
کدام زبان رسمی در کشور فرانسه صحبت می شود ؟ | فرانسوی | ادبیات | معمولی
نام دریای بزرگ شمال ایران چیست ؟ | دریای خزر | جغرافیا | معمولی
کدام دانشمند نظریه تکامل را مطرح کرد ؟ | چارلز داروین | علوم | معمولی
کدام شهر پایتخت ژاپن است ؟ | توکیو | جغرافیا | معمولی
غذای محبوب امریکایی که از مرغ سوخاری و سیب زمینی تشکیل می شود چه نام دارد ؟ | مرغ سوخاری | غذا و نوشیدنی | معمولی
نخستین امام در مذهب شیعه دوازده امامی چه کسی است ؟ | علی بن ابیطالب | دین و مذهبی | سخت
کدام کشور اروپایی به سرزمین گل لاله معروف است ؟ | هلند | جغرافیا | معمولی
کدام عضو بدن وظیفه تصفیه خون و تولید ادرار را دارد ؟ | کلیه | علوم | معمولی
پایتخت المان کدام شهر است ؟ | برلین | جغرافیا | معمولی
مالک شرکت اپل در دوران رشد ايفون چه کسی بود ؟ | استیو جابز | افراد معروف | معمولی
کدام ورزش با تور و شش بازیکن در هر تیم در سالن انجام می شود ؟ | والیبال | ورزش | معمولی
کدام شاعر ایرانی به شیخ اجل معروف است ؟ | سعدی | ادبیات | معمولی
واحد اندازه گیری انرژی در فیزیک چه نام دارد ؟ | ژول | علوم | معمولی
نخستین انسان رفته به فضا از کدام کشور بود ؟ | شوروی | تاریخ | سخت
کدام شهر بزرگ ترین شهر ترکیه است ولی پایتخت نیست ؟ | استانبول | جغرافیا | معمولی
کدام شرکت سیستم عامل اندروید را توسعه می دهد ؟ | گوگل | تکنولوژی | معمولی
در شطرنج مهره ای که به صورت ضربدری در هر جهت حرکت می کند چه نام دارد ؟ | فیل شطرنج | سرگرمی و دانستنی ها | سخت
کدام جانور به حافظه قوی و خرطوم بلند مشهور است ؟ | فیل | حیوانات | معمولی
در چه شهری برج ايفل قرار دارد ؟ | پاریس | فرهنگ و هنر | آسان
صحرای بزرگ افریقا چه نام دارد ؟ | صحرای بزرگ افریقا | جغرافیا | معمولی
کدام میوه منبع غنی ویتامین C است ؟ | پرتقال | غذا و نوشیدنی | آسان
مخفف واقعیت مجازی در انگلیسی چگونه نوشته می شود ؟ | VR | تکنولوژی | معمولی
در کدام کشور شهر رم پایتخت است ؟ | ایتالیا | جغرافیا | معمولی
شاعر مثنوی معنوی چه کسی است ؟ | مولوی | ادبیات | معمولی
کدام کشور میزبان بازی های المپیک 2012 بود ؟ | انگلستان | ورزش | سخت
طولانی ترین رود جهان کدام است ؟ | رود نیل | جغرافیا | معمولی
کدام عضو بدن مرکز دستگاه عصبی محسوب می شود ؟ | مغز | علوم | آسان
کدام نوشیدنی از دانه قهوه برشته تهیه می شود ؟ | قهوه | غذا و نوشیدنی | معمولی
واحد پول رسمی امریکا چه نام دارد ؟ | دلار | اقتصاد | آسان
کدام ضرب المثل توصیه می کند کار را به تعویق نیندازیم ؟ | کار امروز را به فردا مگذار | ادبیات | سخت
کدام جانور عسل تولید می کند ؟ | زنبور عسل | حیوانات | آسان
کدام شبکه اجتماعی با تصویر دوربین رنگی شناخته می شود ؟ | اینستاگرام | تکنولوژی | معمولی
کدام دانشمند مسلمان به پدر جبر معروف است ؟ | خوارزمی | افراد معروف | سخت
پایتخت چین کدام شهر است ؟ | پکن | جغرافیا | معمولی
فرمول شیمیایی اب چیست ؟ | H2O | علوم | آسان
غذای امریکایی که از سوسیس و نان تشکیل شده چه نام دارد ؟ | هات داگ | غذا و نوشیدنی | معمولی
در هر تیم بسکتبال چند بازیکن در زمین حضور دارند ؟ | 5 | ورزش | آسان
کدام فیلسوف یونانی شاگرد سقراط و استاد ارسطو بود ؟ | افلاطون | افراد معروف | سخت
کدام کشور به شکل چکمه در نقشه اروپا دیده می شود ؟ | ایتالیا | جغرافیا | معمولی
کدام ویتامین برای لخته شدن خون ضروری است ؟ | K | علوم | معمولی
کدام غذای ايتالیایی از خمیر نان و پنیر و مواد مختلف روی ان تشکیل می شود ؟ | پیتزا | غذا و نوشیدنی | آسان
واحد پول کشور ژاپن چه نام دارد ؟ | ین | اقتصاد | معمولی
در کدام ورزش از راکت و توپ پر دار استفاده می شود ؟ | بدمینتون | ورزش | سخت
کدام شاعر ایرانی لقب خواجه شیراز را دارد ؟ | حافظ | ادبیات | معمولی
کدام جانور بلند ترین گردن را در میان جانوران خشکی دارد ؟ | زرافه | حیوانات | آسان
کدام شرکت فناوری لوگوی سیب گاز زده دارد ؟ | اپل | تکنولوژی | آسان
نخستین کتاب نازل شده بر پیامبر اسلام چه نام داشت ؟ | قران کریم | دین و مذهبی | سخت
پایتخت اسپانیا کدام شهر است ؟ | مادرید | جغرافیا | معمولی
کدام گاز اصلی ترین بخش هوای زمین را تشکیل می دهد ؟ | نیتروژن | علوم | معمولی
غذای معروف خاورمیانه که از نخود له شده و ارده تهیه می شود چه نام دارد ؟ | حمص | غذا و نوشیدنی | سخت
در نماد المپیک پنج حلقه رنگی نشان دهنده چیست ؟ | پنج قاره | ورزش | معمولی
کدام شاعر ایرانی آرامگاهش در توس قرار دارد ؟ | فردوسی | ادبیات | سخت
کدام جانور شب فعال است و چشمان درشت دارد ؟ | جغد | حیوانات | معمولی
مخفف زبان نشانه گذاری صفحات وب چه نام دارد ؟ | HTML | تکنولوژی | سخت
پایتخت مصر کدام شهر است ؟ | قاهره | جغرافیا | معمولی
کدام ویتامین عمدتا با نور خورشید در بدن تولید می شود ؟ | D | علوم | معمولی
غذایی که از برنج و عدس و پیاز سرخ شده تهیه می شود چه نام دارد ؟ | عدس پلو | غذا و نوشیدنی | معمولی
کدام ورزش سنتی ایرانی با اسب و توپ انجام می شود ؟ | چوگان | ورزش | سخت
کدام فیلسوف یونانی معلم اسکندر مقدونی بود ؟ | ارسطو | افراد معروف | سخت
پایتخت انگلستان کدام شهر است ؟ | لندن | جغرافیا | معمولی
در بدن انسان چند قلب وجود دارد ؟ | 1 | علوم | آسان
کدام نوشیدنی لبنی منبع مهم کلسیم است ؟ | شیر | غذا و نوشیدنی | آسان
واحد پول رسمی انگلستان چه نام دارد ؟ | پوند | اقتصاد | سخت
کدام بازی فکری با مهره های رنگی و حدس جای درست انجام می شود ؟ | مستر مایند | سرگرمی و دانستنی ها | سخت
کدام جانور دریایی درون صدف خود مروارید تولید می کند ؟ | صدف دریایی | حیوانات | سخت
کدام شرکت موتور جستجوی معروف گوگل را اداره می کند ؟ | گوگل | تکنولوژی | آسان
پایتخت هند کدام شهر است ؟ | دهلی نو | جغرافیا | معمولی
کدام دانشمند ایرانی کتاب قانون در طب را نوشته است ؟ | ابن سینا | افراد معروف | معمولی
در بدن انسان کدام اندام انسولین ترشح می کند ؟ | لوزالمعده | علوم | سخت
غذای ايتالیایی که از خمیر لوله ای شکل و سس درست می شود چه نام دارد ؟ | پاستا | غذا و نوشیدنی | آسان
در کدام ورزش استفاده از دست خطا است و فقط با پا و سر بازی می شود ؟ | فوتبال | ورزش | معمولی
کدام شاعر ایرانی کتاب منطق الطیر را نوشته است ؟ | عطار | ادبیات | سخت
کدام قاره کوچک ترین قاره جهان از نظر مساحت است ؟ | استرالیا | جغرافیا | معمولی
کدام دانش درباره لرزش های زمین و زلزله بحث می کند ؟ | زلزله شناسی | علوم | سخت
در کدام کشور قهوه ترک شهرت ویژه دارد ؟ | ترکیه | غذا و نوشیدنی | معمولی
کدام جام بین المللی مهم ترین مسابقه فوتبال در سطح جهان است ؟ | جام جهانی | ورزش | معمولی
کدام فیلسوف یونانی شاگرد افلاطون و استاد اسکندر بود ؟ | ارسطو | افراد معروف | معمولی
مجموعه شعر های حافظ چه نام دارد ؟ | دیوان حافظ | ادبیات | معمولی
کدام کشور دارای پرچم با برگ افرا قرمز است ؟ | کانادا | جغرافیا | سخت
کدام ویتامین برای سلامت پوست و سیستم ایمنی مهم است ؟ | E | علوم | معمولی
غذای مشهور مکزیکی که از نان ذرت و مواد گوشتی تشکیل می شود چه نام دارد ؟ | تاکو | غذا و نوشیدنی | سخت
کدام ورزش با تخته و موج در دریا انجام می شود ؟ | موج سواری | ورزش | سخت
کدام روانشناس نظریه ناخوداگاه را مطرح کرد ؟ | زیگموند فروید | افراد معروف | سخت
کدام کشور پایتختش برازیلیا است ؟ | برزیل | جغرافیا | معمولی
کدام جانور تخم خود را در شن های ساحل دفن می کند ؟ | لاک پشت دریایی | حیوانات | معمولی
کدام شرکت بازی سازی کنسول پلی استیشن را تولید می کند ؟ | سونی | تکنولوژی | معمولی
واحد پول کشور روسیه چه نام دارد ؟ | روبل | اقتصاد | معمولی
کدام کتاب دینی در دین یهود مقدس است ؟ | تورات | دین و مذهبی | سخت
کدام شاعر ایرانی معروف به شمس تبریزی است ؟ | مولوی | ادبیات | سخت
کدام قاره بیش ترین جمعیت جهان را دارد ؟ | اسیا | جغرافیا | معمولی
کدام عنصر شیمیایی با نماد Fe شناخته می شود ؟ | اهن | علوم | معمولی
غذایی که از نخود و ادویه سرخ شده درست می شود چه نام دارد ؟ | فلافل | غذا و نوشیدنی | معمولی
کدام ورزش ترکیبی از دویدن و پرتاب و پرش در مجموعه است ؟ | دو و میدانی | ورزش | سخت
کدام برند معروف لباس لوگوی تیک دارد ؟ | نایکی | سرگرمی و دانستنی ها | معمولی
کدام جانور توانایی تغییر رنگ برای استتار دارد ؟ | افتاب پرست | حیوانات | سخت
کدام شبکه اجتماعی برای پیام رسانی فوری توسط فیس بوک خریداری شد ؟ | واتساپ | تکنولوژی | معمولی
پایتخت کشور برزیل کدام شهر است ؟ | برازیلیا | جغرافیا | سخت
کدام ویتامین برای ساخته شدن گلبول قرمز با فولیک اسید در ارتباط است ؟ | B12 | علوم | سخت
